dB Rproj Rshrink
-6.000000000000000000e+01 4.353420541506788766e+01 4.046002354011137925e+01
-5.500000000000000000e+01 2.590302998772676091e+01 2.482801767298287388e+01
-5.000000000000000000e+01 1.081576206139313179e+01 1.126545983162167275e+01
-4.500000000000000000e+01 3.935140272384742843e+00 4.901537332374592992e+00
-4.200000000000000000e+01 2.134062484895588252e+00 3.183463949552802319e+00
-3.879999999999999716e+01 1.035230528807467687e+00 2.074585249115626695e+00
-3.500000000000000000e+01 4.189713975515201860e-01 1.465203492587689560e+00
-3.000000000000000000e+01 1.361310481595432720e-01 1.154188490291998326e+00
-2.500000000000000000e+01 4.278309802073452378e-02 1.048339703368566633e+00
-2.000000000000000000e+01 1.311019967697310724e-02 1.016158987310228357e+00
-1.500000000000000000e+01 4.132577974891412514e-03 1.004539156665495314e+00
-1.000000000000000000e+01 1.348165106028103959e-03 1.001666031610946916e+00
