rho R
1.000000000000000048e-04 9.262096286352239076e+02
3.981071705534973523e-04 7.335153331604361711e+02
1.584893192461114082e-03 3.857951098628358864e+02
6.309573444801930275e-03 1.378300532025160123e+02
2.511886431509579437e-02 3.899129596266119080e+01
1.000000000000000056e-01 1.078802397536653501e+01
3.981071705534969252e-01 3.485176733409263594e+00
1.584893192461114042e+00 1.631446237855542325e+00
6.309573444801929831e+00 1.158849147355152986e+00
2.511886431509577022e+01 1.039693308159865603e+00
1.000000000000000000e+02 1.010012824893601557e+00
