dmc_dB sigma2
-5.627337968534283164e+01 9.999999999999999547e-07
-5.599699777579508719e+01 1.065707914178696352e-06
-5.572061586624734986e+01 1.135733358343105172e-06
-5.544423395669960541e+01 1.210360028382996471e-06
-5.516785204715187518e+01 1.289890261253308021e-06
-5.489147013760413074e+01 1.374646259839676598e-06
-5.461508822805640051e+01 1.464971398307284876e-06
-5.433870631850865607e+01 1.561231613221504608e-06
-5.406232440896091873e+01 1.663816886076127416e-06
-5.378594249941318139e+01 1.773142823235483237e-06
-5.350956058986543695e+01 1.889652339691211599e-06
-5.323317868031770672e+01 2.013817453455210105e-06
-5.295679677076996228e+01 2.146141197858405979e-06
-5.268041486122222494e+01 2.287159659502645638e-06
-5.240403295167448050e+01 2.437444150122221785e-06
-5.212765104212675027e+01 2.597603521153812588e-06
-5.185126913257900583e+01 2.768286630392066801e-06
-5.157488722303127560e+01 2.950184970723894732e-06
-5.129850531348353115e+01 3.144035471591499959e-06
-5.102212340393579382e+01 3.350623484533604295e-06
-5.074574149438805648e+01 3.570785964900462606e-06
-5.046935958484031204e+01 3.805414862632635291e-06
-5.019297767529258181e+01 4.055460735840827523e-06
-4.991659576574483737e+01 4.321936601826528998e-06
-4.964021385619710003e+01 4.605922041145103558e-06
-4.936383194664935559e+01 4.908567571338431269e-06
-4.908745003710162536e+01 5.231099308056258461e-06
-4.881106812755388091e+01 5.574823932450255996e-06
-4.853468621800614358e+01 5.941133984965040091e-06
-4.825830430845840624e+01 6.331513506973245873e-06
-4.798192239891066180e+01 6.747544053110699385e-06
-4.770554048936293157e+01 7.190911098669455316e-06
-4.742915857981518712e+01 7.663410868007462581e-06
-4.715277667026745689e+01 8.166957611638568377e-06
-4.687639476071971245e+01 8.703591361485165528e-06
-4.660001285117197511e+01 9.275486195712056095e-06
-4.632363094162423067e+01 9.884959046625586455e-06
-4.604724903207650044e+01 1.053447908732116668e-05
-4.577086712252875600e+01 1.122667773510813544e-05
-4.549448521298101866e+01 1.196435931223850072e-05
-4.521810330343328133e+01 1.275051240713012877e-05
-4.494172139388553688e+01 1.358832198211223642e-05
-4.466533948433780665e+01 1.448118227674533057e-05
-4.438895757479006221e+01 1.543271055899176974e-05
-4.411257566524233198e+01 1.644676177994662642e-05
-4.383619375569458754e+01 1.752744419150082178e-05
-4.355981184614684310e+01 1.867913599020784571e-05
-4.328342993659910576e+01 1.990650305478458139e-05
-4.300704802705137553e+01 2.121451784910627868e-05
-4.273066611750363109e+01 2.260847956727777316e-05
-4.245428420795589375e+01 2.409403560239526900e-05
-4.217790229840815641e+01 2.567720442597585718e-05
-4.190152038886041197e+01 2.736439997074671947e-05
-4.162513847931266753e+01 2.916245761557606454e-05
-4.134875656976493730e+01 3.107866187782013960e-05
-4.107237466021720707e+01 3.312077592527659393e-05
-4.079599275066946262e+01 3.529707302730650319e-05
