nmse proj4 shr4 proj16 shr16
1.000000000000000021e-03 2.395694922369811034e-03 1.002491994529689290e+00 6.820482903880255472e-03 1.006804010607510236e+00
1.435961701962214189e-03 3.436153663953713140e-03 1.003336983871864652e+00 9.800126101008914056e-03 1.009894842519512004e+00
2.061986009502219351e-03 4.904362057764941052e-03 1.004633952122375717e+00 1.406672552150193753e-02 1.013855034077914663e+00
2.960932939627084360e-03 7.080705894646350564e-03 1.007082990162841085e+00 2.008289169436148699e-02 1.020750973584831467e+00
4.251786303382890445e-03 1.014362814316358691e-02 1.010576296868649582e+00 2.897548932243685163e-02 1.030257791836226122e+00
6.105402296585326835e-03 1.457762153887390971e-02 1.014316617715376623e+00 4.152375815044642010e-02 1.041956041340293515e+00
8.767123872968686851e-03 2.090806106201476694e-02 1.020412992450539180e+00 5.973791795354264217e-02 1.059943457204975736e+00
1.258925411794167490e-02 3.015001632429785763e-02 1.029950747535405942e+00 8.603068642981506753e-02 1.087105453975398150e+00
1.807768676963434143e-02 4.324045679240409029e-02 1.043378203889794964e+00 1.228372553384615984e-01 1.124224595030555829e+00
2.595886586126393281e-02 6.188224518452981049e-02 1.062511995441629997e+00 1.763209133740172574e-01 1.177788765674053995e+00
3.727593720314940212e-02 8.907200872783294088e-02 1.089658450460699646e+00 2.540514377894485532e-01 1.254779611567198971e+00
5.352681822847105836e-02 1.278522225883116092e-01 1.128544676407323255e+00 3.648199834680083131e-01 1.369800204367381813e+00
7.686246100397738090e-02 1.832876749774241254e-01 1.184014947726242273e+00 5.237174542172050584e-01 1.526576603894444162e+00
1.103715503202756798e-01 2.635135167446053250e-01 1.263450175330220970e+00 7.526857067072890706e-01 1.755258428401730075e+00
1.584893192461114264e-01 3.781146517971769594e-01 1.374874892577562679e+00 1.078137200136438434e+00 2.081770635824810256e+00
2.275845926074788750e-01 5.411363091002741044e-01 1.542622875439321639e+00 1.539136127002521670e+00 2.539574091891918517e+00
3.268027589410125167e-01 7.797986296396663963e-01 1.783162491577428233e+00 2.223579940016788825e+00 3.224681414995050233e+00
4.692762459348835957e-01 1.117709728232723077e+00 2.119258729741372971e+00 3.176052097358317283e+00 4.169137376752099833e+00
6.738627168030940640e-01 1.611067284163817614e+00 2.607289317568964204e+00 4.553024678399712144e+00 5.537169184816454148e+00
9.676410537094536357e-01 2.318313068538653710e+00 3.323628759814096778e+00 6.518386250419140104e+00 7.495118323323984200e+00
1.389495494373137463e+00 3.318477439059821954e+00 4.327819027828404330e+00 9.290512382896674026e+00 1.025149905320691168e+01
1.995262314968879513e+00 4.760075928709411208e+00 5.759503066630629498e+00 1.322159596724019259e+01 1.416523941369211137e+01
